x_m,y_m,can_overtake
-5.0776293,9.2134766,false
-5.1148619,9.1975036,false
-5.1539533,9.1843346,false
-5.1948899,9.1738603,false
-5.2376583,9.1659713,false
-5.2822450,9.1605582,false
-5.3286366,9.1575117,false
-5.3768196,9.1567224,false
-5.4267805,9.1580810,false
-5.4785058,9.1614781,false
-5.5319821,9.1668045,false
-5.5871960,9.1739506,false
-5.6441339,9.1828073,false
-5.7027823,9.1932650,false
-5.7631279,9.2052146,false
-5.8251571,9.2185465,false
-5.8888565,9.2331516,false
-5.9542126,9.2489203,false
-6.0212064,9.2657398,false
-6.0897598,9.2834581,false
-6.1597598,9.3019004,false
-6.2310926,9.3208912,false
-6.3036446,9.3402552,false
-6.3773020,9.3598172,false
-6.4519512,9.3794017,false
-6.5274785,9.3988335,false
-6.6037702,9.4179372,false
-6.6807126,9.4365375,false
-6.7581921,9.4544591,false
-6.8360950,9.4715266,false
-6.9143075,9.4875647,false
-6.9927161,9.5023982,false
-7.0712069,9.5158516,false
-7.1496664,9.5277497,false
-7.2279809,9.5379170,false
-7.3060366,9.5461784,false
-7.3837200,9.5523584,false
-7.4609172,9.5562818,false
-7.5375146,9.5577731,false
-7.6134020,9.5566661,false
-7.6885162,9.5529198,false
-7.7628291,9.5465859,false
-7.8363134,9.5377186,false
-7.9089417,9.5263716,false
-7.9806867,9.5125991,false
-8.0515211,9.4964549,false
-8.1214175,9.4779930,false
-8.1903486,9.4572674,false
-8.2582872,9.4343321,false
-8.3252057,9.4092410,false
-8.3910770,9.3820481,false
-8.4558737,9.3528073,false
-8.5195684,9.3215725,false
-8.5821338,9.2883979,false
-8.6435427,9.2533373,false
-8.7037676,9.2164447,false
-8.7627812,9.1777741,false
-8.8205562,9.1373793,false
-8.8770653,9.0953145,false
-8.9322811,9.0516335,false
-8.9861763,9.0063903,false
-9.0387236,8.9596389,true
-9.0898956,8.9114333,true
-9.1396650,8.8618273,true
-9.1880046,8.8108750,true
-9.2348868,8.7586304,true
-9.2802845,8.7051473,true
-9.3241702,8.6504798,true
-9.3665168,8.5946818,true
-9.4072967,8.5378073,true
-9.4464827,8.4799103,true
-9.4840475,8.4210447,true
-9.5199637,8.3612644,true
-9.5542040,8.3006235,true
-9.5867410,8.2391759,true
-9.6175475,8.1769756,true
-9.6465961,8.1140765,true
-9.6738595,8.0505326,true
-9.6993103,7.9863978,true
-9.7229212,7.9217262,true
-9.7446649,7.8565717,true
-9.7645140,7.7909882,true
-9.7824412,7.7250298,true
-9.7984192,7.6587503,true
-9.8124207,7.5922038,true
-9.8244183,7.5254441,true
-9.8343846,7.4585254,true
-9.8422925,7.3915015,true
-9.8481144,7.3244263,true
-9.8518232,7.2573540,true
-9.8533914,7.1903383,true
-9.8527917,7.1234334,true
-9.8499968,7.0566931,true
-9.8449794,6.9901714,true
-9.8377122,6.9239223,true
-9.8281677,6.8579998,true
-9.8163187,6.7924577,true
-9.8021389,6.7273497,true
-9.7856336,6.6627144,true
-9.7668470,6.5985728,true
-9.7458252,6.5349445,true
-9.7226145,6.4718495,true
-9.6972612,6.4093075,true
-9.6698113,6.3473384,true
-9.6403113,6.2859621,true
-9.6088073,6.2251982,true
-9.5753456,6.1650666,true
-9.5399723,6.1055872,true
-9.5027338,6.0467798,true
-9.4636764,5.9886641,true
-9.4228461,5.9312601,true
-9.3802893,5.8745874,true
-9.3360521,5.8186660,true
-9.2901809,5.7635157,true
-9.2427219,5.7091562,true
-9.1937213,5.6556073,true
-9.1432253,5.6028890,true
-9.0912803,5.5510210,true
-9.0379323,5.5000232,true
-8.9832277,5.4499153,true
-8.9272127,5.4007172,true
-8.8699336,5.3524486,true
-8.8114365,5.3051295,true
-8.7517677,5.2587796,true
-8.6909735,5.2134187,true
-8.6291001,5.1690667,true
-8.5661937,5.1257434,true
-8.5023005,5.0834685,true
-8.4374669,5.0422620,true
-8.3717390,5.0021436,true
-8.3051630,4.9631332,true
-8.2377853,4.9252505,true
-8.1696521,4.8885154,true
-8.1008095,4.8529476,true
-8.0313039,4.8185671,true
-7.9611814,4.7853937,true
-7.8904883,4.7534471,true
-7.8192709,4.7227471,true
-7.7475754,4.6933136,true
-7.6754479,4.6651665,true
-7.6029348,4.6383254,true
-7.5300824,4.6128103,true
-7.4569367,4.5886409,true
-7.3835441,4.5658372,true
-7.3099509,4.5444188,true
-7.2362031,4.5244056,true
-7.1623472,4.5058174,true
-7.0884292,4.4886741,true
-7.0144956,4.4729954,true
-6.9405924,4.4588012,true
-6.8667660,4.4461113,true
-6.7930625,4.4349455,true
